nid,vid,title,description,type,creator,contributor,date_issued,date_issued_start,date_issued_end,date_other,alternate_title,subject,annotations,form,identifier_local,caption,extent,note,city,state,country,continent,region,coordinates,extraterrestrialarea,projection,scale,publisher,origin_info_place,copyright_date,physical_location,provenance,access_condition,language,purl,fullsize,thumbnail
85340,85340,Asher & Adams' Minnesota,,Cartographic,,Asher & Adams (Original copyright holder),1871,,,,,Minnesota_Maps,,Paper Map,map00013 | G4140 1874 .A8,,22.5 x 16 inches,"Atlas plate 84.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,[Asher & Adams?],United States,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89312,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007039.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007039.jpg
85341,85341,Colton's Minnesota,,Cartographic,,G.W. & C.B. Colton & Co. (Original copyright holder),1870,,,,,Minnesota_Maps,,Paper Map,map00014 | G4140 1867(A) .C8,,24 x 16.75 inches,"Atlas plates 70 and 71.  Longitude west from Greenwich and Washington, D.C.  Map may have been published in 1870 or later.",,Minnesota,,North America,,,,,,G.W. & C.B. Colton & Co.,New York,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89313,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007051.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007051.jpg
85342,85342,County map of Minnesota,,Cartographic,"Gamble, W. H. (William H.) (Draftsman and engraver)","Mitchell, S. Augustus (Samuel Augustus), Jr. (Original copyright holder)",1868,,,,,Minnesota_Maps,,Paper Map,map00015 | G4140 1872 .G2,,14 x 12 inches,"Atlas plate 50.  Longitude west from Greenwich and Washington, D.C.  Map may have been published in 1868 or later.",,Minnesota,,North America,,,,,,"[S. Augustus Mitchell, Jr.?]",Philadelphia,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89314,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006981.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006981.jpg
85343,85343,County map of Minnesota,,Cartographic,"Gamble, W. H. (William H.) (Draftsman and engraver)","Mitchell, S. Augustus (Samuel Augustus), Jr. (Original copyright holder)",1867,,,,,Minnesota_Maps,,Paper Map,map00016 | G4140 1870 (A) .G2,,14 x 12 inches,"Atlas plate 50.  Date of copyright registration 1870.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,"[S. Augustus Mitchell, Jr.?]",Philadelphia,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89315,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006980.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006980.jpg
85344,85344,Johnson's Minnesota,,Cartographic,,,1870,,,,,Minnesota_Maps,,Paper Map,map00017 | G4140 1869  .J6,,23 x 16 inches,"Atlas plates 74 and 75.  Longitude west from Greenwich and Washington, D.C.  Possibly a map from: New Illustrated Family Atlas of the World, according to an early cataloger_s note.",,Minnesota,,North America,,,,,,A. J. Johnson,New York,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89316,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006976.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006976.jpg
85345,85345,Minnesota,,Cartographic,,G.W. & C.B. Colton & Co. (Original copyright holder),1881,,,,,Minnesota_Maps,,Paper Map,map00018 | G4140 1867 .C6,,23.5 x 16 inches,"Atlas plates 126 and 127.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,[G.W. & C.B. Colton & Co.?],New York?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89317,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006972.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006972.jpg
85346,85346,County map of Minnesota,,Cartographic,"Gamble, W. H. (William H.) (Draftsman and engraver)","Mitchell, S. Augustus (Samuel Augustus), Jr. (Original copyright holder)",1867,,,,,Minnesota_Maps,,Paper Map,map00019 | G4140 1867 .G2,,13 x 10.5 inches,"Atlas plate 50.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,"[S. Augustus Mitchell, Jr.?]",Philadelphia,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89318,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006971.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006971.jpg
85347,85347,Minnesota,,Cartographic,,"Colton, J. H. (Joseph Hutchins), 1800-1893 (Original copyright holder)",1864,,,,,Minnesota_Maps,,Paper Map,map00020 | G4140 1864 .C6,,15.5 x 12.75 inches,Atlas plate 64.,,Minnesota,,North America,,,,,,J. H. Colton,New York,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89319,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006968.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006968.jpg
85348,85348,Johnson's Minnesota,,Cartographic,,"Johnson, A. J. (Alvin Jewett), 1827-1884 (Original copyright holder)",1865,,,,,Minnesota_Maps,,Paper Map,map00021 | G4140 1865 .J8,,12.5 x 15.5 inches,"Atlas plate 65.  Longitude west from Greenwich and Washington, D.C.  _Historical and Statistical View of the United States, 1860_ tables on verso.",,Minnesota,,North America,,,,,,Johnson and Ward,New York?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89320,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006964.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006964.jpg
85349,85349,County map of Minnesota,,Cartographic,"Gamble, W. H. (William H.) (Draftsman and engraver)","Mitchell, S. Augustus (Samuel Augustus), Jr. (Original copyright holder)",1862,,,,,Minnesota_Maps,,Paper Map,map00022 | G4140 1862 .G2B,,14 x 12 inches,"Atlas plate 42.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,"[S. Augustus Mitchell, Jr.?]",Philadelphia,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89321,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006963.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006963.jpg
85350,85350,County map of Minnesota,,Cartographic,"Gamble, W. H. (William H.) (Draftsman and engraver)","Mitchell, S. Augustus (Samuel Augustus), Jr. (Original copyright holder)",1862,,,,,Minnesota_Maps,,Paper Map,map00023 | G4140 1862 .G2,,14 x 12 inches,"Atlas plate 42.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,"[S. Augustus Mitchell, Jr.?]",Philadelphia,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89322,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006962.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006962.jpg
85351,85351,Johnson's Minnesota and Dakota,,Cartographic,Johnson and Ward,,1861,,,,,Minnesota_Maps,,Paper Map,map00024 | G4140 1861 .J8,,14 x 18 inches,"Atlas plate 64.  Longitude west from Greenwich and Washington, D.C.  _Aggregate Statistics of the United States_ tables for 1860 on verso.",,Minnesota | North Dakota | South Dakota,,North America,,,,,,[Johnson and Ward],New York?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89323,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006958.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006958.jpg
85352,85352,"Minnesota, and Dacotah",,Cartographic,,"Mitchell, S. Augustus (Samuel Augustus), Jr. (Original copyright holder)",1861,,,,,Minnesota_Maps,,Paper Map,map00025 | G4140 1860 .M5B,,10.8 x 13.2 inches,"Atlas plate 38.  Date of copyright registration 1860.  Longitude west from Greenwich and Washington, D.C.",,Minnesota | North Dakota | South Dakota,,North America,,,,,,"[S. Augustus Mitchell, Jr.?]",Philadelphia,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89324,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006956.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006956.jpg
85353,85353,"Minnesota, and Dacotah",,Cartographic,,"Mitchell, S. Augustus (Samuel Augustus), Jr. (Original copyright holder)",1860,,,,,Minnesota_Maps,,Paper Map,map00026 | G4140 1860 .M5A,,10.75 x 13.25 inches,"Atlas plate 35.  Longitude west from Greenwich and Washington, D.C.",,Minnesota | North Dakota | South Dakota,,North America,,,,,,"[S. Augustus Mitchell, Jr.?]",Philadelphia,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89325,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006955.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006955.jpg
85354,85354,Johnson's Minnesota and Dakota,,Cartographic,Johnson & Browning,,1860,,,,,Minnesota_Maps,,Paper Map,map00027 | G4140 1860 .J8,,12.5 x 15.5 inches,"Atlas plate 52.  Longitude west from Greenwich and Washington, D.C.",,Minnesota | North Dakota | South Dakota,,North America,,,,,,[Johnson & Browning?],New York?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89326,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006951.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006951.jpg
85355,85355,Map of Minnesota and Dakota,,Cartographic,,"Desilver, Charles (Original copyright holder)",1860,,,,,Minnesota_Maps,,Paper Map,map00028 | G4140 1860 .D3,,14 x 17 inches,"Longitude west from Greenwich and Washington, D.C.  Explanatory text includes _Lands of the Dakota or Sioux Indians_ and _Minni Wakan Lake._",,Minnesota | North Dakota | South Dakota,,North America,,,,,,Charles Desilver,Philadelphia,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89327,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006950.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006950.jpg
85356,85356,Nebraska and Kansas; Minnesota,,Cartographic,,J.H. Colton & Co. (Original copyright holder),1860,,,,,Minnesota_Maps,,Paper Map,map00029 | G4140 1860 .C6,,10.5 x 12.5 inches,"Date of copyright registration 1858.  Longitude west from Greenwich and Washington, D.C.  Map of Minnesota contains inset map of _Vicinity of the Falls of St. Anthony._  Map may have been published in 1860.",,Minnesota | Kansas | Nebraska,,North America,,,,,,[ J.H. Colton & Co.?],New York?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89328,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006946.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006946.jpg
85357,85357,Colton's Minnesota and Dakota,,Cartographic,,J.H. Colton & Co. (Original copyright holder),1859,,,,,Minnesota_Maps,,Paper Map,map00030 | G4140 1859 .C6,,16 x 13 inches,"Atlas plate 49.  Longitude west from Greenwich and Washington, D.C.  Map may have been published in 1859.",,Minnesota | North Dakota | South Dakota,,North America,,,,,,Johnson & Browning,New York,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89329,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006945.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006945.jpg
85358,85358,Map of Minnesota,,Cartographic,"Young, J. H. (James Hamilton)",,1856,,,,,Minnesota_Maps,,Paper Map,map00031 | G4140 1858 .Y8,,13 x 16 inches,"Atlas plate 36.  Longitude west from Greenwich and Washington, D.C.  Explanatory text includes _Lands of the Dakota or Sioux Indians_ and _Minni Wakan Lake._  Map may have been published in 1856 or later.",,Minnesota,,North America,,,,,,Charles Desilver,Philadelphia,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89330,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006930.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006930.jpg
85359,85359,Minnesota,,Cartographic,,,1858,,,,,Minnesota_Maps,,Paper Map,map00032 | G4140 1858 .C6,,12.5 x 15.5 inches,"Map of area covered by Minnesota, North Dakota, South Dakota, and parts of Iowa and Wisconsin.  Atlas plate 49.  Longitude west from Greenwich and Washington, D.C.  Possibly a map from: Colton_s Atlas of the World, 1858, according to an early cataloger_s note.",,Minnesota,,North America,,,,,,J.H. Colton & Co.,New York,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89331,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006929.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006929.jpg
